ano,taxa_abandono_ef,taxa_abandono_em,taxa_reprovacao_ef,taxa_aprovacao_ef,tdi_ef
2013,5.2,27.5,64.6,91.7,1.4
2014,4.8,25.5,69.3,92.5,1.4
2015,4.4,26.7,69.4,92.4,1.3
2016,4.8,26.4,69.5,93.0,1.3
2017,4.7,26.5,69.8,93.5,2.6
2018,3.4,26.1,72.0,92.7,1.1
2019,0.9,26.8,70.5,91.6,2.4
2020,1.1,26.9,71.1,95.2,0.6
2021,0.3,26.8,75.7,97.0,0.9
2022,1.8,26.4,68.6,96.4,0.9
