NU_ANO_CENSO;NO_REGIAO;CO_REGIAO;NO_UF;SG_UF;CO_UF;NO_MUNICIPIO;CO_MUNICIPIO;NO_REGIAO_GEOG_INTERM;CO_REGIAO_GEOG_INTERM;NO_REGIAO_GEOG_IMED;CO_REGIAO_GEOG_IMED;NO_DISTRITO;CO_DISTRITO;NO_SUBDISTRITO;CO_SUBDISTRITO;NO_ENTIDADE;CO_ENTIDADE;CO_REDE;TP_DEPENDENCIA;TP_CATEGORIA_ESCOLA_PRIVADA;TP_LOCALIZACAO;TP_LOCALIZACAO_DIFERENCIADA;IN_PODER_PUBLICO_PARCERIA;TP_PODER_PUBLICO_PARCERIA;NO_AREA_CURSO_PROFISSIONAL;ID_AREA_CURSO_PROFISSIONAL;NO_CURSO_EDUC_PROFISSIONAL;CO_CURSO_EDUC_PROFISSIONAL;QT_CURSO_TEC;QT_MAT_CURSO_TEC;QT_CURSO_TEC_IFTP;QT_MAT_CURSO_TEC_IFTP;QT_CURSO_TEC_IFTP_MT;QT_MAT_CURSO_TEC_IFTP_MT;QT_CURSO_TEC_IFTP_OTME;QT_MAT_CURSO_TEC_IFTP_OTME;QT_CURSO_TEC_IFTP_OE;QT_MAT_CURSO_TEC_IFTP_OE;QT_CURSO_TEC_NM;QT_MAT_CURSO_TEC_NM;QT_CURSO_TEC_CONC;QT_MAT_CURSO_TEC_CONC;QT_CURSO_TEC_SUBS;QT_MAT_CURSO_TEC_SUBS;QT_CURSO_TEC_IFTP_CT;QT_MAT_CURSO_TEC_IFTP_CT;QT_CURSO_TEC_EJA;QT_MAT_CURSO_TEC_EJA
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;2;4;1;1;0;0;;Controle e processos industriais;3000;Eletromecânica;3038;1;63;0;0;0;0;0;0;0;0;0;0;1;63;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;2;4;1;1;0;0;;Controle e processos industriais;3000;Manutenção de Máquinas Industriais;3060;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;HESSEL HORACIO CHERKASSKY ESCOLA SENAI;35148052;2;4;1;1;0;0;;Controle e processos industriais;3000;Mecânica;3043;1;127;0;0;0;0;0;0;0;0;0;0;1;7;1;120;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Controle e processos industriais;3000;Eletromecânica;3038;1;18;0;0;0;0;0;0;0;0;0;0;1;1;1;17;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Controle e processos industriais;3000;Eletrotécnica;3040;1;41;0;0;0;0;0;0;0;0;0;0;1;1;1;40;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Controle e processos industriais;3000;Mecatrônica;3044;1;17;1;17;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Controle e processos industriais;3000;Mecânica;3043;1;51;0;0;0;0;0;0;0;0;0;0;1;2;1;49;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Gestão e negócios;4000;Administração;4050;1;63;1;51;1;51;0;0;0;0;0;0;1;1;1;11;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Gestão e negócios;4000;Logística;4056;1;14;0;0;0;0;0;0;0;0;0;0;1;1;1;13;0;0;0;0
2025;Sudeste;3;São Paulo;SP;35;Cubatão;3513504;São Paulo;3501;Santos;350002;Cubatão;351350405;;;FORTEC ESCOLA TECNICA;35175024;2;4;1;1;0;0;;Informação e comunicação;6000;Informática;6073;1;44;1;44;1;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0
